"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 17 16:26:01 IST 2022","Fri Jun 17 16:26:01 IST 2022","7","Default suite","Default test","excel.ReadData.ReadExcelData","excel.ReadData.ReadExcelData","getExcelDataWithRowNumber","getExcelDataWithRowNumber",""
"broken","Mon Jun 13 12:16:24 IST 2022","Mon Jun 13 12:16:24 IST 2022","35","UI_Automation_Smoke_Suite","Test","excel.ReadData.ReadExcelData","excel.ReadData.ReadExcelData","successful_DataFetch","successful_DataFetch",""
"broken","Wed Jun 15 16:53:01 IST 2022","Wed Jun 15 16:53:01 IST 2022","2","Default suite","Default test","db.EmployeeValidation.Employee","db.EmployeeValidation.Employee","verifyEmpId","verifyEmpId",""
"passed","Fri Jun 17 18:45:51 IST 2022","Fri Jun 17 18:45:51 IST 2022","80","UI_Automation_Smoke_Suite","Test","excel.ReadData.ReadExcelData","excel.ReadData.ReadExcelData","successful_DataReadWrite","successful_DataReadWrite",""
"passed","Fri Jun 17 18:45:51 IST 2022","Fri Jun 17 18:45:51 IST 2022","44","UI_Automation_Smoke_Suite","Test","excel.ReadData.ReadExcelData","excel.ReadData.ReadExcelData","totolColumnCount","totolColumnCount",""
"broken","Wed Jun 08 15:43:10 IST 2022","Wed Jun 08 15:43:10 IST 2022","0","UI_Regression_Suite","Test","ui.LoginTest","ui.LoginTest","getBrowser","getBrowser",""
"broken","Wed Jun 08 15:22:20 IST 2022","Wed Jun 08 15:22:20 IST 2022","0","UI_Regression_Suite","Test","ui.LoginTest","ui.LoginTest","closeBrowser","closeBrowser",""
"passed","Fri Jun 17 18:45:51 IST 2022","Fri Jun 17 18:45:51 IST 2022","44","UI_Automation_Smoke_Suite","Test","excel.ReadData.ReadExcelData","excel.ReadData.ReadExcelData","writeDatatoTxt","writeDatatoTxt",""
"passed","Fri Jun 10 18:14:43 IST 2022","Fri Jun 10 18:15:04 IST 2022","21137","UI_Automation_Smoke_Suite","Test","ui.LoginTest","ui.LoginTest","successful_Login_Test","verify successful login test","verify user able to login to OpenKart app with valid credentials"
"broken","Wed Jun 15 16:48:29 IST 2022","Wed Jun 15 16:48:29 IST 2022","1","Default suite","Default test","db.EmployeeValidation.Employee","db.EmployeeValidation.Employee","verifyEmpName","verifyEmpName",""
